id,location name,latitude (decimal degrees),longitude (decimal degrees)
89,Vo Nhai 1 Garment Branch – TNG Investment and Trading JSC,21.697816,105.914943
90,"LEE BOU INTERNATIONAL BINH DUONG INT'L. CO., LTD",10.962061,106.718224
91,"BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI",10.71935,106.91
92,VINH TIEN GARMENT JOINT STOCK COMPANY,10.258912,105.950834
93,"CHANG SHIN VIETNAM COMPANY, LTD.",11.0185,106.838
94,"Men-Chuen Viet Nam Co., Ltd. (Nhon Trach VI)",10.702118,106.934386
95,Song Hong - Nghia Hung Garment Joint Stock Company,20.2036,106.17929
96,MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,14.058324,108.277199
97,"Fu-Luh Shoes Co., LTD",10.61377,106.66193
98,"CHANG SHIN VIETNAM CO., LTD",10.79365,106.98319
99,"Thuan Phuong Embroideries Garments Co., Ltd - Binh Chanh Factory 2",10.604279,106.619644
100,GreenTech Headgear Company Limited,10.580198,107.17486
101,"Annora Vietnam  Footwear Co.,Ltd",19.43901,105.775088
102,TKG TAEKWANG VINA JOINT STOCK COMPANY-MY THO BRANCH,10.36813,106.34126
103,"Vietnam Golden Victory Co., Ltd.",20.253746,106.121438
104,Dae Young Vina,11.08794,106.76837
105,TKG TAEKWANG VINA JOINT STOCK COMPANY,14.058324,108.277199
106,SAN FANG (TR1) (VIETNAM),10.63595,107.040084
107,Viet Long Hung Garment Company Limited,10.385703,106.682505
108,YOU YOUNG (VIETNAM),11.05579,106.552
109,ROLLSPORT VIETNAM FOOTWEAR LIMTED,19.918933,105.518638
110,NAM THIEN COMPANY LIMITED,10.80108,106.62319
111,KWAN TAT VIET NAM INDUSTRIAL LIMITED,10.960022,106.720668
112,Maxport Limited (Viet Nam) - Thai Binh Branch,20.43519,106.257567
113,Tho Xuan Corporation Company Limited,19.920484,105.522984
114,ISA INDUSTRIAL CO LTD (VIETNAM),11.0913,106.5402
115,Haivina Hong Linh Co. Ltd,18.50825,105.71057
116,GB LIGHT CO LTD (VIETNAM),11.1014,106.67523
117,Lucky Star Vietnam Garment Company Limited,10.896416,106.729473
118,"VIETNAM DONA ORIENT CO., LTD",10.978427,106.950451
119,KUO YUEN (VIETNAM),10.7343466,106.9293791
120,Rollsport Vietnam Footwear Limited,19.84632,105.801309
121,FORMOSA TAFFETA VIETNAM CO LTD,10.61114,106.47004
122,"SAB Industrial (Vietnam) Co.,Ltd.",20.107417,105.847889
123,Hua Feng Haptic Vietnam,14.058324,108.277199
124,ORIENTAL GARMENT AN GIANG CO LTD,10.44792,105.35052
125,TTG Co. Ltd.,10.48292,106.36517
126,"Maxim Label and Packaging Vietnam Co., Ltd",10.931715,106.631817
127,"PROSPORTS FASHION (VIET NAM) CO., LTD.",20.956076,106.267441
128,EAGLE NICE VIETNAM COMPANY LIMITED,10.875201,106.338871
129,Avery Dennison RIS Vietnam Co. Ltd.,10.636149,106.719097
130,"Tremon Sporting Goods Enterprise Co.,Ltd",11.31385,106.131067
131,Ha Noi Garment No. 40 Joint Stock Company,20.991582,105.806405
132,"JOY VINA FASHION CO., LTD",20.853181,106.035517
133,"PREMIER GLOBAL (VIETNAM) GARMENT FACTORY CO., LTD",10.89865,106.73162
134,"CCH TOP VN CO., LTD.",10.762,106.74
135,Gain Lucky (Vietnam) Limited,11.14639,106.332078
136,"PHUC TAI TAY NINH CO., LTD",11.64832,106.18652
137,Sun Yuan Optical (Vietnam) Co. Ltd.,10.625099,106.512257
138,Viet Long Giang Garment Joint Stock Company ,10.105449,105.67629
139,"Green TG Co., Ltd",10.481627,106.34781
140,Pou Chen Vietnam Enterprise Ltd.,20.8904493,106.5495683
141,PRIME ASIA (VIETNAM),10.37005,107.08552
142,"DONA VICTOR FOOTWEAR CO., LTD",10.9748,106.954
143,TKG TAEKWANG MOC BAI JOINT STOCK COMPANY,11.3675,106.119
144,"Unipax Co., Ltd",14.058324,108.277199
145,"Dona Pacific (Vietnam) Co., Ltd.",10.978833,106.952226
146,Viet Tien Garment Corporation,10.7876,106.656
147,COSMO-E-MART NON-WOVEN COMPANY LIMITED,10.79487,106.47011
148,DONGJIN TEXTILE VINA,14.058324,108.277199
149,AURORA VIETNAM INDUSTRIAL FOOTWEAR CO. LTD,20.91516,106.64976
150,Far Eastern Apparel (Vietnam) Limited,10.936,106.738
151,VIET NAM ARGENT OPTICAL LIMITED COMPANY,21.31414,105.69624
152,Far Eastern New Apparel (Vietnam) Ltd (MDC),11.473998,106.879882
153,"FASHION GARMENTS MEKONG CO., LTD",10.71708,105.37557
154,PROMAX TEXTILE (VIETNAM) CO. LTD,14.058324,108.277199
155,"Viet Hong Garment Export Co., Ltd.",10.04612,106.5927
156,VIETNAM JINTAI TEXTILE TECHNOLOGY COMPANY LIMITED,11.06965,106.77924
