the_geom,points_id,location_name,latitude,longitude,major_basin_name,minor_basin_name,aquifer_name,aq30_id,pfaf_id,gid_1,aqid,gid_0,name_0,name_1,area_km2,bws_raw,bws_score,bws_cat,bws_label,bwd_raw,bwd_score,bwd_cat,bwd_label,cfr_raw,cfr_score,cfr_cat,cfr_label,drr_raw,drr_score,drr_cat,drr_label
0101000020E6100000FF08C38025025E40DE3AFF76D9214240,159,"QINGDAO HONGTAISHENGDA TRADE CO., LTD.",36.264449,120.033539,China Coast,Jiaolai He,,31489,433056,CHN.23_1,1412,CHN,China,Shandong,3435.976627,4.538553708,5,4,Extremely High (>80%),3.050304107,5,4,Extremely High (>75%),0.00000587,0.607849853,0,"Low (0 to 9 in 1,000,000)",0.703324904,3.516624519,3,Medium - High (0.6-0.8)
0101000020E6100000A69BC420B0025E40772D211FF4244240,68,"Qingdao Changshin Shoes Co., Ltd.",36.2887,120.042,China Coast,Jiaolai He,,31489,433056,CHN.23_1,1412,CHN,China,Shandong,3435.976627,4.538553708,5,4,Extremely High (>80%),3.050304107,5,4,Extremely High (>75%),0.00000587,0.607849853,0,"Low (0 to 9 in 1,000,000)",0.703324904,3.516624519,3,Medium - High (0.6-0.8)
0101000020E610000086014BAE62225E408527F4FA93424240,35,"Qingdao Licheng Health Technology Co., Ltd.",36.520141,120.537273,China Coast,Jiaolai He,,31489,433056,CHN.23_1,1412,CHN,China,Shandong,3435.976627,4.538553708,5,4,Extremely High (>80%),3.050304107,5,4,Extremely High (>75%),0.00000587,0.607849853,0,"Low (0 to 9 in 1,000,000)",0.703324904,3.516624519,3,Medium - High (0.6-0.8)
0101000020E61000003C8386FE09D25D401405FA449EE44040,42,Huaian Yuantong Headwear Mfg Co Ltd,33.78608,119.28186,China Coast,Guan He,North China Plain Aquifer System,31521,433062,CHN.15_1,1565,CHN,China,Jiangsu,2672.827026,0.31508818,2.655755636,2,Medium - High (20-40%),0.13957181,1.447859049,1,Low - Medium (5-25%),0.0000408,1.503519592,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",0.708861135,3.544305675,3,Medium - High (0.6-0.8)
0101000020E6100000CC5D4BC807C75D40F888981249CC4040,17,"Jiangsu Asian Sourcing Headwear MFG. CO., Ltd",33.59598,119.10985,China Coast,Guan He,North China Plain Aquifer System,31521,433062,CHN.15_1,1565,CHN,China,Jiangsu,2672.827026,0.31508818,2.655755636,2,Medium - High (20-40%),0.13957181,1.447859049,1,Low - Medium (5-25%),0.0000408,1.503519592,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",0.708861135,3.544305675,3,Medium - High (0.6-0.8)
0101000020E610000037A6272CF1D05D40E25817B7D1E44040,16,"JiangSu HongBao Sporting Goods Co., Ltd.",33.78765,119.26472,China Coast,Guan He,North China Plain Aquifer System,31521,433062,CHN.15_1,1565,CHN,China,Jiangsu,2672.827026,0.31508818,2.655755636,2,Medium - High (20-40%),0.13957181,1.447859049,1,Low - Medium (5-25%),0.0000408,1.503519592,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",0.708861135,3.544305675,3,Medium - High (0.6-0.8)
0101000020E61000005709168733B15D40983446EBA80E4140,74,Honways Apparel Shuyang Limited,34.11453,118.76877,China Coast,Guan He,North China Plain Aquifer System,31522,433063,CHN.15_1,1565,CHN,China,Jiangsu,1631.399277,0.27342117,2.451124948,2,Medium - High (20-40%),0.102258815,1.261294077,1,Low - Medium (5-25%),0,0,0,"Low (0 to 9 in 1,000,000)",0.702683031,3.513415155,3,Medium - High (0.6-0.8)
0101000020E610000062670A9DD7645D4055FA0967B7604140,26,"Zao Zhuang RuiXing Shoes Co., Ltd",34.755597,117.57566,China Coast,Weishan Hu,North China Plain Aquifer System,31540,433067,CHN.23_1,1565,CHN,China,Shandong,3049.252578,0.745810378,3.898808872,3,High (40-80%),0.436949786,2.747799145,2,Medium - High (25-50%),0,0,0,"Low (0 to 9 in 1,000,000)",0.693924151,3.469620757,3,Medium - High (0.6-0.8)
0101000020E6100000390D51853F335D40BC783F6EBFE04140,115,"Shandong Yuanchenghe Garment Co.,Ltd",35.755842,116.800752,China Coast,Weishan Hu,,31547,433069,CHN.23_1,1412,CHN,China,Shandong,10510.97169,1.95829598,5,4,Extremely High (>80%),0.948458618,4.793834473,4,Extremely High (>75%),0,0,0,"Low (0 to 9 in 1,000,000)",0.680556984,3.402784918,3,Medium - High (0.6-0.8)
0101000020E61000008FC2F5285C0F5E40713D0AD7A3B04040,108,YANCHENG XINBO GARMENTS CO LTD,33.38,120.24,China Coast,Xinyang Gang,North China Plain Aquifer System,31555,433090,CHN.15_1,1565,CHN,China,Jiangsu,14839.49914,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.00581524,4.010231324,4,"Extremely High (more than 2 in 1,000)",0.736095145,3.680475723,3,Medium - High (0.6-0.8)
0101000020E610000092E86514CB155E40744694F606E74040,69,Sheyang Zhixiang Knitting Clothing Factory,33.8049,120.34052,China Coast,Xinyang Gang,North China Plain Aquifer System,31555,433090,CHN.15_1,1565,CHN,China,Jiangsu,14839.49914,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.00581524,4.010231324,4,"Extremely High (more than 2 in 1,000)",0.736095145,3.680475723,3,Medium - High (0.6-0.8)
0101000020E6100000A453573ECB3B5E408CB96B09F9E83F40,58,TORAY SAKAI CO. LTD.,31.91005,120.93428,China Coast,Changjiang Kou Coast,North China Plain Aquifer System,31555,433090,CHN.15_1,1565,CHN,China,Jiangsu,14839.49914,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.00581524,4.010231324,4,"Extremely High (more than 2 in 1,000)",0.736095145,3.680475723,3,Medium - High (0.6-0.8)
0101000020E6100000D3DEE00B935D5E4040A4DFBE0EEC3F40,29,"Nantong Nafung Gym Equipment Co.,Ltd",31.9221,121.4621,China Coast,Changjiang Kou Coast,North China Plain Aquifer System,31555,433090,CHN.15_1,1565,CHN,China,Jiangsu,14839.49914,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.00581524,4.010231324,4,"Extremely High (more than 2 in 1,000)",0.736095145,3.680475723,3,Medium - High (0.6-0.8)
0101000020E610000070067FBF985A5E40259529E620F03F40,7,"Nantong Golden Yuelai Gym Equipment Co., Ltd",31.938002,121.415573,China Coast,Changjiang Kou Coast,North China Plain Aquifer System,31555,433090,CHN.15_1,1565,CHN,China,Jiangsu,14839.49914,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.00581524,4.010231324,4,"Extremely High (more than 2 in 1,000)",0.736095145,3.680475723,3,Medium - High (0.6-0.8)
0101000020E6100000D3C1FA3F875D5E409E077767ED0E4040,84,RAMATEX TEXTILES (NANTONG) LTD,32.11662,121.46138,China Coast,Changjiang Kou Coast,,31556,433090,CHN.15_1,-9999,CHN,China,Jiangsu,957.3601485,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.00581524,4.010231324,4,"Extremely High (more than 2 in 1,000)",0.736095145,3.680475723,3,Medium - High (0.6-0.8)
0101000020E61000001D9430D3F6DD5D40EC4CA1F31A334040,155,"SUNNY JET HOSIERY CO., LIMITED",32.39926,119.46819,China Coast,Gaoyou Hu 1,North China Plain Aquifer System,31569,434210,CHN.15_1,1565,CHN,China,Jiangsu,12375.26066,0.428920398,3.100709926,3,High (40-80%),0.133306658,1.416533289,1,Low - Medium (5-25%),0.0000126,1.047837284,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",0.715978122,3.57989061,3,Medium - High (0.6-0.8)
0101000020E6100000F0DC7BB8E4E45D40787FBC57AD284040,96,"JIANGSU JINHUBAO GARMENT CO., LTD",32.31779,119.57646,China Coast,Gaoyou Hu 1,North China Plain Aquifer System,31569,434210,CHN.15_1,1565,CHN,China,Jiangsu,12375.26066,0.428920398,3.100709926,3,High (40-80%),0.133306658,1.416533289,1,Low - Medium (5-25%),0.0000126,1.047837284,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",0.715978122,3.57989061,3,Medium - High (0.6-0.8)
0101000020E6100000B6F292FFC9FB5C40DD24068195BF3F40,59,ANHUI COSMO SPORTING GOODS COMPANY LIMITED,31.748375,115.934204,China Coast,Meishan Shuiku,North China Plain Aquifer System,31596,434284,CHN.1_1,1626,CHN,China,Anhui,2465.197078,0.662042599,3.726924051,3,High (40-80%),0.206962919,1.784814593,1,Low - Medium (5-25%),0,0,0,"Low (0 to 9 in 1,000,000)",0.700818584,3.504092918,3,Medium - High (0.6-0.8)
0101000020E6100000FB95CE8767995D40A3737E8AE3284040,11,"Chuzhou Korrun Future Luggage Products Co., Ltd",32.319444,118.396944,Yangtze,Chang Jiang,North China Plain Aquifer System,31640,434302,CHN.1_1,1565,CHN,China,Anhui,6104.638375,0.066895178,0.419974132,0,Low (<10%),0.018315517,0.366310339,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.702585511,3.512927556,3,Medium - High (0.6-0.8)
0101000020E61000007AC7293A92BB5D40B2BAD573D25B3F40,142,"Nanjing 3H Medical Products Co., Ltd.",31.35868,118.9308,Yangtze,Chang Jiang 2,,31651,434304,CHN.15_1,1565,CHN,China,Jiangsu,1002.938286,0.109124801,1.125979021,1,Low - Medium (10-20%),0.026780157,0.535603149,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.665186721,3.325933603,3,Medium - High (0.6-0.8)
0101000020E6100000A301BC0512FE5C402EE7525C556E3C40,110,"Jiangxi Guangyou Shoetown Footwear Co., Ltd.",28.43099,115.96985,Yangtze,Mei Jiang,,31687,434424,CHN.16_1,1721,CHN,China,Jiangxi,2828.495911,0.460730684,3.203923683,3,High (40-80%),0.127760363,1.388801815,1,Low - Medium (5-25%),0,0,0,"Low (0 to 9 in 1,000,000)",0.533079871,2.665399355,2,Medium (0.4-0.6)
0101000020E6100000D942908312CB5C408C84B69C4BE13D40,109,Yangxin Poujia Footwear Co. Ltd.,29.88006,115.173005,Yangtze,Chang Jiang 3,,31745,434502,CHN.13_1,1688,CHN,China,Hubei,416.737422,0.275778177,2.463508296,2,Medium - High (20-40%),0.069582643,1.097913215,1,Low - Medium (5-25%),0,0,0,"Low (0 to 9 in 1,000,000)",0.581279519,2.906397594,2,Medium (0.4-0.6)
0101000020E61000003D7E6FD39FB95C40B9DFA128D0673E40,33,EAGLE NICE JINGMEN GARMENTS CO LTD,30.40552,114.90038,Yangtze,Chang Jiang 3,,31756,434505,CHN.13_1,1688,CHN,China,Hubei,216.216568,0.281296244,2.49209029,2,Medium - High (20-40%),0.072574102,1.112870512,1,Low - Medium (5-25%),0,0,0,"Low (0 to 9 in 1,000,000)",0.614169406,3.070847028,3,Medium - High (0.6-0.8)
0101000020E61000009F3C2CD49A765C40EAE74D452AA43B40,104,Pingxiang City Guangxuan Footwear Co. Ltd.,27.64127,113.8532,Yangtze,Xiang Jiang,,31886,434823,CHN.16_1,1745,CHN,China,Jiangxi,1345.37772,0.128372208,1.360332899,1,Low - Medium (10-20%),0.036062588,0.721251755,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.537829831,2.689149154,2,Medium (0.4-0.6)
0101000020E6100000BA83D89942E75B40C190D5AD9E6B3A40,87,"Shoetown Hunan FOOTWEAR CO.,LTD",26.42039,111.61344,Yangtze,Chongling Shui,,31897,434827,CHN.14_1,1744,CHN,China,Hunan,13152.37417,0.214938736,2.103925505,2,Medium - High (20-40%),0.065470386,1.077351929,1,Low - Medium (5-25%),0,0,0,"Low (0 to 9 in 1,000,000)",0.568754179,2.843770895,2,Medium (0.4-0.6)
0101000020E61000004DA1F31ABBD25B40BB0F406A13673A40,28,"YongZhou Kaixiang Shoetown Footwear Co., Ltd. NOT A FINISHED GOODS FACILITY",26.40264,111.29267,Yangtze,Chongling Shui,,31901,434828,CHN.14_1,1744,CHN,China,Hunan,2346.084271,0.240727903,2.267403373,2,Medium - High (20-40%),0.073007461,1.115037306,1,Low - Medium (5-25%),0,0,0,"Low (0 to 9 in 1,000,000)",0.544359375,2.721796876,2,Medium (0.4-0.6)
0101000020E6100000ED0BE8853BDD5B40BC5CC477623A3B40,132,SHAOYANG STELLA FOOTWEAR COMPANY LIMITED,27.228065,111.456758,Yangtze,Xiao Shui,,31912,434840,CHN.14_1,1744,CHN,China,Hunan,14033.79722,0.124514718,1.316316286,1,Low - Medium (10-20%),0.035777778,0.715555562,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.55662358,2.783117902,2,Medium (0.4-0.6)
0101000020E6100000C173EFE192D15B40F645425BCEFD3A40,54,Shao Yang County SteIIa Footwear LTD ,26.99143,111.27459,Yangtze,Xiao Shui,,31912,434840,CHN.14_1,1744,CHN,China,Hunan,14033.79722,0.124514718,1.316316286,1,Low - Medium (10-20%),0.035777778,0.715555562,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.55662358,2.783117902,2,Medium (0.4-0.6)
0101000020E6100000FE261422E0C35B40FD4AE7C3B3183B40,41,"Longhui Stella Footwear Co., Ltd",27.096493,111.060555,Yangtze,Xiao Shui,,31912,434840,CHN.14_1,1744,CHN,China,Hunan,14033.79722,0.124514718,1.316316286,1,Low - Medium (10-20%),0.035777778,0.715555562,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.55662358,2.783117902,2,Medium (0.4-0.6)
0101000020E61000003333333333F35B40713D0AD7A3303E40,19,HUBEI TOP EAGLE GARMENT LTD.,30.19,111.8,Yangtze,Li Shui,,31918,434860,CHN.13_1,1688,CHN,China,Hubei,3390.215292,0.063928048,0.354520955,0,Low (<10%),0.017896656,0.35793312,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.555484224,2.777421119,2,Medium (0.4-0.6)
0101000020E610000062156F641EFD5B40C0E78711C2CB3C40,153,ShaoYang LianTai SQ HanShou Upper Facility,28.79593,111.95498,Yangtze,Yuan Jiang,,31924,434870,CHN.14_1,1688,CHN,China,Hunan,4459.77819,0.028985596,0,0,Low (<10%),0.007598927,0.151978533,0,Low (<5%),0,0,0,"Low (0 to 9 in 1,000,000)",0.550439279,2.752196393,2,Medium (0.4-0.6)
0101000020E61000008EAF3DB324305E403ACC971760A73F40,151,"Suzhou Blue Seagull Fashion Co., Ltd",31.65381,120.75224,China Coast,Lake Tail Hu,North China Plain Aquifer System,32249,435010,CHN.15_1,1565,CHN,China,Jiangsu,3624.397344,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.000165923,2.330857611,2,"Medium - High (7 in 100,000 to 3 in 10,000)",0.743912957,3.719564784,3,Medium - High (0.6-0.8)
0101000020E61000009C508880431F5E402E9276A38FB13F40,149,"WUXI BROTHERS PACKAGING CO., LTD ",31.693598,120.488495,China Coast,Delta,North China Plain Aquifer System,32249,435010,CHN.15_1,1565,CHN,China,Jiangsu,3624.397344,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.000165923,2.330857611,2,"Medium - High (7 in 100,000 to 3 in 10,000)",0.743912957,3.719564784,3,Medium - High (0.6-0.8)
0101000020E6100000E754320054185E4006A051BAF49B3F40,72,PAIHO (WUXI 1),31.609203,120.380127,China Coast,Delta,North China Plain Aquifer System,32249,435010,CHN.15_1,1565,CHN,China,Jiangsu,3624.397344,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.000165923,2.330857611,2,"Medium - High (7 in 100,000 to 3 in 10,000)",0.743912957,3.719564784,3,Medium - High (0.6-0.8)
0101000020E610000023D74D29AF225E40F7915B936ECF3F40,53,"Zhangjiagang New HuaYuan Accessones Co., Ltd",31.810281,120.541941,China Coast,Delta,North China Plain Aquifer System,32249,435010,CHN.15_1,1565,CHN,China,Jiangsu,3624.397344,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.000165923,2.330857611,2,"Medium - High (7 in 100,000 to 3 in 10,000)",0.743912957,3.719564784,3,Medium - High (0.6-0.8)
0101000020E61000008D261763601B5E40A25D85949FC43F40,48,"JIANGSU NINGSHENG GARMENT CO.,LTD   ",31.76806,120.427758,China Coast,Delta,North China Plain Aquifer System,32249,435010,CHN.15_1,1565,CHN,China,Jiangsu,3624.397344,0.225505785,2.173164447,2,Medium - High (20-40%),0.068861107,1.094305533,1,Low - Medium (5-25%),0.000165923,2.330857611,2,"Medium - High (7 in 100,000 to 3 in 10,000)",0.743912957,3.719564784,3,Medium - High (0.6-0.8)
