Factory Name,Factory Type
"CHANG SHIN VIETNAM COMPANY, LTD.",FINISHED GOODS
"Men-Chuen Viet Nam Co., Ltd. (Nhon Trach VI)",FINISHED GOODS - COMPONENTS
Song Hong - Nghia Hung Garment Joint Stock Company,FINISHED GOODS
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,FINISHED GOODS
"Fu-Luh Shoes Co., LTD",FINISHED GOODS
"CHANG SHIN VIETNAM CO., LTD",FINISHED GOODS
"Thuan Phuong Embroideries Garments Co., Ltd - Binh Chanh Factory 2",FINISHED GOODS
GreenTech Headgear Company Limited,FINISHED GOODS
"Annora Vietnam  Footwear Co.,Ltd",FINISHED GOODS
TKG TAEKWANG VINA JOINT STOCK COMPANY-MY THO BRANCH,FINISHED GOODS - COMPONENTS
"Vietnam Golden Victory Co., Ltd.",FINISHED GOODS
Dae Young Vina,FINISHED GOODS - COMPONENTS
TKG TAEKWANG VINA JOINT STOCK COMPANY,FINISHED GOODS
SAN FANG (TR1) (VIETNAM),MATERIALS
Viet Long Hung Garment Company Limited,FINISHED GOODS
YOU YOUNG (VIETNAM),MATERIALS
ROLLSPORT VIETNAM FOOTWEAR LIMTED,FINISHED GOODS - COMPONENTS
NAM THIEN COMPANY LIMITED,FINISHED GOODS
KWAN TAT VIET NAM INDUSTRIAL LIMITED,FINISHED GOODS
Maxport Limited (Viet Nam) - Thai Binh Branch,FINISHED GOODS
Tho Xuan Corporation Company Limited,FINISHED GOODS
ISA INDUSTRIAL CO LTD (VIETNAM),MATERIALS
Haivina Hong Linh Co. Ltd,FINISHED GOODS
GB LIGHT CO LTD (VIETNAM),MATERIALS
Lucky Star Vietnam Garment Company Limited,FINISHED GOODS
"VIETNAM DONA ORIENT CO., LTD",FINISHED GOODS
KUO YUEN (VIETNAM),MATERIALS
Rollsport Vietnam Footwear Limited,FINISHED GOODS
FORMOSA TAFFETA VIETNAM CO LTD,MATERIALS
"SAB Industrial (Vietnam) Co.,Ltd.",MATERIALS
Hua Feng Haptic Vietnam,FINISHED GOODS - COMPONENTS
ORIENTAL GARMENT AN GIANG CO LTD,FINISHED GOODS
TTG Co. Ltd.,FINISHED GOODS
"Maxim Label and Packaging Vietnam Co., Ltd",MATERIALS
"PROSPORTS FASHION (VIET NAM) CO., LTD.",FINISHED GOODS
EAGLE NICE VIETNAM COMPANY LIMITED,FINISHED GOODS
Avery Dennison RIS Vietnam Co. Ltd.,MATERIALS
"Tremon Sporting Goods Enterprise Co.,Ltd",FINISHED GOODS
Ha Noi Garment No. 40 Joint Stock Company,FINISHED GOODS
"JOY VINA FASHION CO., LTD",FINISHED GOODS
"PREMIER GLOBAL (VIETNAM) GARMENT FACTORY CO., LTD",FINISHED GOODS
"CCH TOP VN CO., LTD.",FINISHED GOODS
Gain Lucky (Vietnam) Limited,MATERIALS
"PHUC TAI TAY NINH CO., LTD",FINISHED GOODS
Sun Yuan Optical (Vietnam) Co. Ltd.,FINISHED GOODS
Viet Long Giang Garment Joint Stock Company ,FINISHED GOODS
"Green TG Co., Ltd",FINISHED GOODS
Pou Chen Vietnam Enterprise Ltd.,FINISHED GOODS
PRIME ASIA (VIETNAM),MATERIALS
"DONA VICTOR FOOTWEAR CO., LTD",FINISHED GOODS
TKG TAEKWANG MOC BAI JOINT STOCK COMPANY,FINISHED GOODS
"Unipax Co., Ltd",FINISHED GOODS
"Dona Pacific (Vietnam) Co., Ltd.",FINISHED GOODS
Viet Tien Garment Corporation,FINISHED GOODS
COSMO-E-MART NON-WOVEN COMPANY LIMITED,MATERIALS
DONGJIN TEXTILE VINA,MATERIALS
AURORA VIETNAM INDUSTRIAL FOOTWEAR CO. LTD,FINISHED GOODS
Far Eastern Apparel (Vietnam) Limited,FINISHED GOODS
VIET NAM ARGENT OPTICAL LIMITED COMPANY,FINISHED GOODS
Far Eastern New Apparel (Vietnam) Ltd (MDC),FINISHED GOODS
"FASHION GARMENTS MEKONG CO., LTD",FINISHED GOODS
PROMAX TEXTILE (VIETNAM) CO. LTD,MATERIALS
"Viet Hong Garment Export Co., Ltd.",FINISHED GOODS
VIETNAM JINTAI TEXTILE TECHNOLOGY COMPANY LIMITED,MATERIALS
Longway Vietnam Company Limited,FINISHED GOODS
TKG TAEKWANG CAN THO COMPANY LIMITED,FINISHED GOODS
"QUANG VIET ENTERPRISE CO., LTD",FINISHED GOODS
PROMAX TEXTILE (VIETNAM) CO. LTD.  (FTY 2),MATERIALS
FAR EASTERN POLYTEX (VIETNAM) LTD,MATERIALS
"Ting Heng Co., Ltd",MATERIALS
EverTech Plastic Vietnam Company LTD Branch,FINISHED GOODS - COMPONENTS
"framas Korea Vina Co., Ltd",FINISHED GOODS - COMPONENTS
TONG HONG TANNERY CO LTD (VIETNAM),MATERIALS
GOLD LONG JOHN (VIETNAM),FINISHED GOODS - COMPONENTS
VIRTUE KING VIETNAM COMPANY LIMITED,FINISHED GOODS
"Vietnam ECI Elastic Co., Ltd",MATERIALS
"DAEWON CHEMICAL VINA CO., LTD.",MATERIALS
"Vietnam Dona Standard Footwear Co., Ltd",FINISHED GOODS
