Index,Factory name,country,bws_score,bwd_score,cfr_score,drr_score,Factory Type
51,"Dong Guan Goldenprene Sporting Goods Co., Ltd.",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
52,Dong Guan New Prosperity Optical Mfy Ltd. Chang An Branch,China,1.840089816,0.89520095,4.00210769,2.704106647,FINISHED GOODS
53,"DONG SHIN VINA CO.,LTD",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
54,"Dongguan Dingjia Sporting Goods Co.,Ltd.",China,1.840089816,0.89520095,4.00210769,2.704106647,FINISHED GOODS
55,"DONGGUAN JINGSHENG GARMENTS CO.,LTD",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
56,DONGGUAN JUN SHENG FOOTWEAR PARTS CO LTD (KURIM DONGGUAN) (CHINA),China,0.797890632,0.443913437,2.318525094,2.595601528,MATERIALS
57,Dongguan leefong label manufacture co ltd.,China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
58,"DONGGUAN RICHWAY HANDBAG CO., LTD.",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
59,"Dongguan Stella Footwear Product Creation Co., LTD.",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
60,"Dongguan Ye Ji Industrial Co., Ltd.",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
61,"Dongguan Youkai Industrial Co., Ltd",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
62,DONGJIN (Indonesia),Indonesia,3.313764823,1.530841604,2.559099762,3.641593757,MATERIALS
63,DONGJIN TEXTILE VINA,Vietnam,1.019449456,0.620524519,1.444160201,2.387824962,MATERIALS
64,"DONGJIN TEXTILE VINA Co., Ltd ",Vietnam,1.019449456,0.620524519,1.444160201,2.387824962,MATERIALS
65,DUCKSAN CO LTD (Vietnam),Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
66,"E-Top (Vietnam) Co.,Ltd",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS
67,"Eagle Nice (Yifeng) Garments Co., Ltd",China,0.407852924,0.666927762,0.0,3.327838104,FINISHED GOODS
68,EAGLE NICE JINGMEN GARMENTS CO LTD,China,2.49209029,1.112870512,0.0,3.070847028,FINISHED GOODS
69,EAGLE NICE VIETNAM COMPANY LIMITED,Vietnam,4.452659764,2.513910154,2.561941643,3.371990261,FINISHED GOODS
70,ECI ELASTIC CO LTD,Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS - COMPONENTS
71,"ECLAT FABRIC CO., LTD.",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,MATERIALS
72,"ECLAT TEXTILE CO., LTD. - DA YUAN FACTORY",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS - COMPONENTS
73,"ECLAT TEXTILE CO., LTD. (VIETNAM)",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS
74,ELITE APPARATECH LLC,Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS
75,"ENPING E-MART ENTERPRISE CO., LTD.,",China,1.637324026,0.947219365,4.006780867,2.57475644,MATERIALS
76,EVEREST TEXTILE CO LTD,Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,MATERIALS
77,EVEREST TEXTILES CHINA,China,3.437826419,1.527175651,2.741384111,3.336828491,MATERIALS
78,EVEREST TEXTILES THAILAND-V,Thailand,2.931374955,1.353010293,0.291314657,2.379839182,MATERIALS
79,EverTech Plastic Vietnam Company LTD Branch,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS - COMPONENTS
80,FAR EASTERN,Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,MATERIALS
81,Far Eastern Apparal Suzhou Ltd. Co,China,4.016276542,1.908488102,0.530115431,3.380822312,FINISHED GOODS
82,Far Eastern Apparel (Vietnam) Limited,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
83,Far Eastern Apparel Limited Vietnam,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
84,Far Eastern Dyeing & Finishing (SuZhou) LTD,China,4.016276542,1.908488102,0.530115431,3.380822312,MATERIALS
85,Far Eastern New Apparel (Vietnam) Ltd (MDC),Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
86,FAR EASTERN POLYTEX (VIETNAM) LTD,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
87,"FASHION GARMENTS 2 CO., LTD",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
88,"Fashion Garments 2 Co., Ltd - Xuan Tay",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS
89,"FASHION GARMENTS 2 CO., LTD. - TAN PHU BRANCH",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
90,Fashion Garments Company Limited,Vietnam,3.091303255,1.413338034,2.197614649,2.315745285,FINISHED GOODS
91,"FASHION GARMENTS MEKONG CO., LTD",Vietnam,1.864040593,1.029894649,1.808037565,3.859483479,FINISHED GOODS
92,"Feng Tay Enterprises Co., Ltd",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS
93,"FORMOSA TAFFETA (CHANGSHU) CO., LTD",China,4.016276542,1.908488102,0.530115431,3.380822312,MATERIALS
